latitude,longitude
45.09748449,-68.66326065
45.09754893,-68.66327737
45.09761836,-68.66331068
45.09769647,-68.66333934
45.09779745,-68.66338821
45.09786233,-68.6634456
45.09796318,-68.66352516
45.09803732,-68.66357237
45.09811321,-68.6636436
45.0982069,-68.66370543
45.09831389,-68.66377355
45.09840398,-68.66381729
45.09849295,-68.66389268
45.0985681,-68.66396605
45.09865472,-68.66401418
45.09878925,-68.66405545
45.09886772,-68.66411386
45.09900603,-68.6641745
45.09913217,-68.66425199
45.0992536,-68.66432185
45.0993954,-68.66438053
45.09949799,-68.6644473
45.09952693,-68.66449295
45.09957211,-68.66453644
45.09961785,-68.66457086
45.09967693,-68.66460548
45.09972865,-68.66462473
45.09977149,-68.66463409
45.09980647,-68.6646577
45.09983921,-68.66467574
45.09989059,-68.66469013
45.09994032,-68.66469916
45.09999953,-68.66470153
45.10005619,-68.66471818
45.10010922,-68.66471547
45.10016866,-68.6647059
45.10022605,-68.66470502
45.10029865,-68.66468839
45.10035689,-68.66468027
45.10041292,-68.66468107
45.10045982,-68.66468127
45.10050656,-68.66468966
45.10055353,-68.66469161
45.10060767,-68.66469023
45.10066334,-68.66467527
45.10072442,-68.6646614
45.10076589,-68.66465876
45.1008082,-68.66464573
45.10085649,-68.66462039
45.10089707,-68.66459804
45.10093622,-68.66457308
45.10099485,-68.66454541
45.10104475,-68.66451233
45.10110787,-68.66448151
45.10116962,-68.66444679
45.10123916,-68.66439912
45.1013003,-68.66435115
45.10134132,-68.66430677
45.10138754,-68.66429768
45.10143726,-68.66427231
45.10148167,-68.66421595
45.10152003,-68.66417476
45.10154598,-68.66411483
45.10156385,-68.66403622
45.10158516,-68.66396501
45.10160277,-68.66390247
45.10163449,-68.66386258
45.10166858,-68.66384078
45.10170264,-68.66385683
45.10173404,-68.66386993
45.10177199,-68.66384128
45.1017802,-68.66380804
45.10176849,-68.66377607
45.10178689,-68.66375368
45.10180773,-68.66370971
45.10182036,-68.66366014
45.10185751,-68.66362051
45.10190301,-68.66357389
45.10194456,-68.66353029
45.10199202,-68.66348901
45.10203524,-68.66345399
45.10207924,-68.66341221
45.10211632,-68.66337065
45.10214885,-68.66332267
45.10218791,-68.66330602
45.10222819,-68.66326961
45.10225876,-68.66321747
45.10228283,-68.66316231
45.10232782,-68.66310443
45.10236043,-68.66305811
45.10238787,-68.66302725
45.10242943,-68.66297529
45.1024694,-68.66294376
45.10249542,-68.66290105
45.10251532,-68.66285777
45.10252184,-68.66280697
45.10253607,-68.66276065
45.1025648,-68.66273022
45.10259255,-68.66268477
45.10261042,-68.66264506
45.10263056,-68.66259681
45.10265093,-68.66255393
45.10267503,-68.6625159
45.1027074,-68.66247718
45.10274016,-68.66244972
45.10275691,-68.6624147
45.10277645,-68.66235384
45.10279354,-68.66231842
45.10281249,-68.6622506
45.10282946,-68.66219121
45.10285158,-68.66213939
45.10287444,-68.66210152
45.10289739,-68.6620636
45.10291337,-68.66202425
45.10294111,-68.66197802
45.10297063,-68.66191357
45.10299177,-68.6618491
45.10300991,-68.66180541
45.10302806,-68.66176109
45.10304178,-68.66171387
45.10306405,-68.66167094
45.10308264,-68.66162016
45.10310269,-68.66156727
45.10313826,-68.66150433
45.10318013,-68.66145712
45.10321035,-68.66139064
45.10323938,-68.66131251
45.10327065,-68.66125053
45.10329392,-68.66120011
45.10332991,-68.66113611
45.10336067,-68.66108982
45.1033965,-68.66102825
45.1034278,-68.6609635
45.10346598,-68.6608919
45.10349634,-68.66083227
45.1035388,-68.66075869
45.10357699,-68.6607091
